1,"Boston, MA - South Station","BOS"
2,"Boston, MA - Back Bay Station","BBY"
3,"Route 128, MA","RTE"
4,"Providence, RI","PVD"
5,"Kingston, RI","KIN"
6,"Westerly,RI","WLY"
7,"Mystic, CT","MYS"
8,"New London, CT","NLC"
9,"Old Saybrook, CT","OSB"
10,"New Haven, CT","NHV"
11,"Bridgeport, CT","BRP"
12,"Stamford, CT","STM"
13,"New Rochelle, NY","NRO"
14,"New York, NY - Penn Station","NYP"
15,"Newark, NJ","NWK"
16,"Newark Liberty Intl. Air., NJ","EWR"
17,"Metro Park, NJ","MET"
18,"Trenton, NJ","TRE"
19,"Philadelphia, PA - 30th Street Station","PHL"
20,"Wilmington, DE - J.R. Biden, Jr. Station","WIL"
21,"Aberdeen, MD","ABE"
22,"Baltimore, MD - Penn Station","BAL"
23,"BWI Marshall Airport, MD","BWI"
24,"New Carrollton, MD","NCR"
25,"Washington, DC - Union Station","WAS"
