1,"Boston South Station, MA","BOST"
2,"Boston Back Bay, MA","BBAY"
3,"Route 128, MA","RTMA"
4,"Providence, RI","PRVD"
5,"Kingston, RI","KING"
6,"Westerly, RI","WSLY"
7,"Mystic, CT","MYST"
8,"New London, CT","NLND"
9,"Old Saybrook, CT","OSYB"
10,"New Haven, CT","NHVN"
11,"Bridgeport, CT","BDPR"
12,"Stamford, CT","STMF"
13,"New Rochelle, NY","NRCH"
14,"New York Penn Station, NY","NYPS"
15,"Newark Penn Station, NJ","NJPS"
16,"Newark Liberty Airport, NJ","LIBR"
17,"Metropark, NJ","MTRP"
18,"Trenton, NJ","TRNT"
19,"30th Street Station, PA","PHLY"
20,"Wilmington, DE","WGTN"
21,"Newark, DE","NRDE"
22,"Aberdeen, MD","ABRD"
23,"Baltimore Penn Station, MD","MDPS"
24,"BWI Marshall Airport, MD","BWIM"
25,"New Carrollton, MD","NCRL"
26,"Union Station, DC","USDC"
